seq_num,dcm_pitch,I0
1,3.91009,0.0011013603210449027
2,3.9122399999999997,0.0009685134887695084
3,3.9143899999999996,0.0009558296203613114
4,3.9161099999999998,0.00077825546264646
5,3.9182599999999996,0.0010799980163574022
6,3.9204099999999995,0.0011160469055175545
7,3.9221299999999997,0.0005813217163085709
8,3.9242799999999995,0.0010205841064452898
9,3.92643,0.001041946411132797
10,3.9281499999999996,0.0012135124206542785
11,3.9303,0.0011781311035156047
12,3.93245,0.0016327476501464676
13,3.9345999999999997,0.0012155151367187313
14,3.93632,0.001332340240478496
15,3.9384699999999997,0.0018870925903320093
16,3.94019,0.0023523902893066184
17,3.9423399999999997,0.002627429962158175
18,3.9444899999999996,0.0030313110351562356
19,3.9462099999999998,0.006244335174560525
20,3.9483599999999996,0.015209159851074187
21,3.9505099999999995,0.026979789733886702
22,3.9522299999999997,0.043648395538330054
23,3.9543799999999996,0.06546131134033202
24,3.95653,0.0969366645812988
25,3.9582499999999996,0.1257751083374023
26,3.9604,0.16290880203247066
27,3.96255,0.20634037017822268
28,3.9642699999999995,0.2584443664550781
29,3.96642,0.311789379119873
30,3.9685699999999997,0.3752140617370604
31,3.97029,0.44049659729003887
32,3.9724399999999997,0.5203155136108397
33,3.97416,0.5920608139038085
34,3.97631,0.6813932991027833
35,3.9784599999999997,0.7668331718444824
36,3.98018,0.854899272918701
37,3.9823299999999997,0.9454514122009278
38,3.9844799999999996,1.0653773880004882
39,3.98663,1.2034499740600586
40,3.9883499999999996,1.332521686553955
41,3.9904999999999995,1.4988799667358392
42,3.99265,1.6924998855590818
43,3.9943699999999995,1.8620792007446287
44,3.99652,2.091653213500977
45,3.9986699999999997,2.366028652191161
46,4.0003899999999994,2.608562908172607
47,4.00254,2.970637950897217
48,4.00469,3.3832548713684076
49,4.00641,3.788544521331786
50,4.008559999999999,4.336806068420411
51,4.0107099999999996,5.037470302581787
52,4.01243,5.682463703155517
53,4.01415,6.4999350166320795
54,4.016299999999999,7.356349143981935
55,4.01845,8.137194786071777
56,4.0206,8.932853183746337
57,4.02232,9.743563327789305
58,4.024469999999999,10.527939758300782
59,4.026619999999999,11.29601942062378
60,4.02834,12.098993740081786
61,4.03092,12.909655818939209
62,4.03264,13.58500772476196
63,4.034789999999999,14.33274312973023
64,4.03651,14.956064472198484
65,4.03909,15.591283283233643
66,4.04081,16.106592807769776
67,4.042529999999999,16.566459140777592
68,4.045109999999999,17.02679410934448
69,4.0464,17.256535682678226
70,4.04898,17.369591007232668
71,4.050699999999999,17.23180614471435
72,4.05242,16.951847133636477
73,4.055,16.359535179138188
74,4.05672,15.706406078338626
75,4.05887,15.039562377929688
76,4.061019999999999,14.224516353607179
77,4.06274,13.48879056930542
78,4.06489,12.549480018615725
79,4.0670399999999995,11.625851402282716
80,4.068759999999999,10.85280500411987
81,4.07048,9.69798751831055
82,4.07263,8.599732074737549
83,4.07478,7.433276138305664
84,4.076499999999999,6.331999931335449
85,4.07865,5.335519180297851
86,4.08037,4.344604644775391
87,4.08252,3.483013496398925
88,4.084669999999999,2.746148166656494
89,4.08639,2.20972333908081
90,4.08854,1.7072178459167482
91,4.0906899999999995,1.3372534370422366
92,4.092409999999999,1.043241367340088
93,4.0945599999999995,0.8017805671691894
94,4.09628,0.6110345458984376
95,4.09843,0.4528072929382323
96,4.10058,0.3446312522888184
97,4.1023,0.2546338653564453
98,4.10445,0.18131977081298822
99,4.10617,0.12566429138183588
100,4.108319999999999,0.08018527984619138
101,4.110469999999999,0.04504428863525389
