seq_num,dcm_pitch,I0
1,3.9109499999999997,0.08558927536010738
2,3.91267,0.0010312652587890427
3,3.9148199999999997,0.00031562805175778933
4,3.9169699999999996,0.00029893875122068305
5,3.91869,0.0014171218872070096
6,3.9208399999999997,0.0007669067382812316
7,3.92256,0.0007161712646484228
8,3.9247099999999997,0.0017135238647460705
9,3.9268599999999996,0.001218852996826153
10,3.9285799999999997,0.000699481964111305
11,3.9307299999999996,0.0016541099548339662
12,3.9328799999999995,0.001983890533447248
13,3.9345999999999997,0.0019505119323730239
14,3.9367499999999995,0.002025947570800757
15,3.9389,0.0021474456787109165
16,3.9410499999999997,0.0022469139099120863
17,3.94277,0.0018083190917968545
18,3.9449199999999998,0.0024304962158202895
19,3.94664,0.003909168243408182
20,3.94879,0.00820566177368162
21,3.9505099999999995,0.019161853790283182
22,3.95266,0.03226762771606443
23,3.9548099999999997,0.05420871734619137
24,3.9569599999999996,0.07867589950561521
25,3.9586799999999998,0.10938220977783203
26,3.9608299999999996,0.14327550888061522
27,3.9629799999999995,0.18438392639160153
28,3.9646999999999997,0.22985759735107425
29,3.9668499999999995,0.2864830589294433
30,3.9685699999999997,0.3442988014221191
31,3.9707199999999996,0.4110733604431152
32,3.97287,0.4789674377441405
33,3.9745899999999996,0.5626843070983887
34,3.9767399999999995,0.6519066429138183
35,3.97889,0.7447866058349608
36,3.9806099999999995,0.8230106925964356
37,3.98276,0.9218240356445314
38,3.9849099999999997,1.0358433341979982
39,3.98663,1.1519514656066894
40,3.9887799999999998,1.303199920654297
41,3.9909299999999996,1.4709747886657714
42,3.9930799999999995,1.6414559936523436
43,3.99523,1.8470888710021964
44,3.9973799999999997,2.078407917022705
45,3.9991,2.3184227561950688
46,4.00125,2.6278650856018064
47,4.003399999999999,2.97059455871582
48,4.00469,3.3148033714294423
49,4.0068399999999995,3.7955473518371585
50,4.00899,4.356315860748291
51,4.0107099999999996,4.954300842285156
52,4.01286,5.69083839416504
53,4.01458,6.477319011688234
54,4.01716,7.321296272277832
55,4.018879999999999,8.0867897605896
56,4.02103,8.91076322555542
57,4.02275,9.758569679260251
58,4.0249,10.521788082122805
59,4.027049999999999,11.36301027297974
60,4.0291999999999994,12.217427024841312
61,4.03135,12.87193332672119
62,4.0335,13.66567979812622
63,4.03522,14.277657089233395
64,4.037369999999999,14.9914284324646
65,4.0395199999999996,15.6429927444458
66,4.04124,16.097369632720945
67,4.04339,16.702687892913822
68,4.04554,17.13421579360962
69,4.04726,17.407637939453124
70,4.04941,17.531876430511478
71,4.05113,17.424391326904296
72,4.053279999999999,17.067638168334963
73,4.055429999999999,16.549890003204347
74,4.05715,15.92270208358765
75,4.0593,15.21217981338501
76,4.06145,14.502419242858887
77,4.063599999999999,13.644495067596436
78,4.06532,12.876485500335694
79,4.0670399999999995,12.112957344055179
80,4.06919,11.095040187835693
81,4.071339999999999,10.029499111175538
82,4.07306,9.086062297821044
83,4.07478,7.932085285186769
84,4.076929999999999,6.718510780334473
85,4.079079999999999,5.770519123077394
86,4.08123,4.719294128417969
87,4.08295,3.775927410125732
88,4.084669999999999,3.0620445823669438
89,4.0868199999999995,2.384159240722657
90,4.08897,1.8377662277221678
91,4.09112,1.4772419548034668
92,4.09284,1.1513806915283202
93,4.0945599999999995,0.8990731811523438
94,4.09714,0.6811883544921875
95,4.09886,0.5332590675354004
96,4.10101,0.3957125282287597
97,4.10316,0.2903029060363769
98,4.10488,0.21446138381958005
99,4.1066,0.15698677062988284
100,4.10875,0.10493818283081054
101,4.110899999999999,0.06424766540527342
