seq_num,dcm_pitch,I0
1,3.94535,0.004282341003417948
2,3.9470699999999996,0.0044098472595214605
3,3.9492199999999995,0.004563388824462868
4,3.9509399999999997,0.004943904876708972
5,3.9530899999999995,0.005649528503417955
6,3.95524,0.005900535583496075
7,3.9569599999999996,0.007312450408935522
8,3.95911,0.015050277709960914
9,3.96126,0.033656845092773426
10,3.9629799999999995,0.0723880386352539
11,3.96513,0.14316602706909173
12,3.9672799999999997,0.2513500785827637
13,3.9694299999999996,0.3716539001464843
14,3.9711499999999997,0.526786289215088
15,3.97287,0.7130021667480468
16,3.97545,0.912180290222168
17,3.9771699999999996,1.1020270919799802
18,3.9793199999999995,1.3095178222656247
19,3.9810399999999997,1.5153029060363774
20,3.9831899999999996,1.7257997131347655
21,3.9849099999999997,1.906361255645752
22,3.9874899999999998,2.1086302375793453
23,3.9896399999999996,2.309147510528564
24,3.99136,2.5185655212402356
25,3.9935099999999997,2.7688496208190916
26,3.9956599999999995,3.032863006591797
27,3.9973799999999997,3.2832131958007817
28,3.9995299999999996,3.640891609191895
29,4.00168,4.050133285522461
30,4.003399999999999,4.473189029693604
31,4.0055499999999995,5.063067684173582
32,4.0077,5.801222095489502
33,4.0094199999999995,6.592549285888672
34,4.01157,7.669784221649168
35,4.01329,8.963648281097411
36,4.01544,10.167619094848632
37,4.01716,11.505379352569578
38,4.019309999999999,12.831749496459961
39,4.021459999999999,14.17187496185303
40,4.02318,15.35728193283081
41,4.02533,16.667647705078124
42,4.02748,18.049432334899905
43,4.0291999999999994,19.10069738388062
44,4.03135,20.36376768112183
45,4.03393,21.555942497253422
46,4.03522,22.39934230804444
47,4.037369999999999,23.47525077819824
48,4.0395199999999996,24.386813030242923
49,4.04167,25.08244777679444
50,4.04382,25.70449605941773
51,4.04554,25.972316608428955
52,4.047689999999999,25.86582218170167
53,4.04984,25.39110971450806
54,4.05156,24.531713542938235
55,4.05371,23.506770191192626
56,4.055859999999999,22.353247127532953
57,4.05758,21.023784122467042
58,4.05973,19.865086708068844
59,4.06145,18.430411014556885
60,4.063599999999999,16.973043880462644
61,4.06532,15.745390281677249
62,4.0679,14.269658908843994
63,4.06919,13.00901390075684
64,4.071339999999999,11.752572593688965
65,4.07349,10.363700351715089
66,4.07521,8.989403209686278
67,4.07736,7.860826644897462
68,4.079509999999999,6.654389820098877
69,4.081659999999999,5.399989280700684
70,4.08295,4.568881473541258
71,4.08553,3.7119953727722166
72,4.087249999999999,2.980957279205322
73,4.08897,2.4091384506225584
74,4.09112,1.8582199668884276
75,4.0932699999999995,1.429197463989258
76,4.09542,1.0249946212768553
77,4.09714,0.7336448287963865
78,4.09929,0.48189140319824236
79,4.10101,0.3148702239990235
80,4.10316,0.19811321258544923
81,4.105309999999999,0.12359014511108396
82,4.10703,0.07388540267944334
83,4.10918,0.04100080490112302
84,4.11133,0.02564464569091794
85,4.113049999999999,0.019219932556152328
86,4.1152,0.015570316314697248
87,4.11735,0.012841281890869109
88,4.11907,0.011048183441162089
89,4.121219999999999,0.01007019042968748
90,4.1233699999999995,0.008783779144287084
91,4.12552,0.0077757453918456815
92,4.12724,0.006541404724121071
93,4.12939,0.00626035690307615
94,4.13111,0.005495986938476541
95,4.13369,0.0050747489929198995
96,4.13498,0.004766330718994113
97,4.13756,0.004632816314697238
98,4.139279999999999,0.004234275817871077
99,4.14143,0.0038597679138183353
100,4.1431499999999994,0.0036882019042968604
101,4.1453,0.003554019927978497
