seq_num,dcm_pitch,I0
1,3.9079399999999995,0.11783300399780271
2,3.9096599999999997,0.0007128334045409927
3,3.9118099999999996,0.0011540985107421678
4,3.91396,0.0012662506103515467
5,3.9156799999999996,0.0013470268249511546
6,3.91783,0.0008323287963867024
7,3.91998,0.001162109374999979
8,3.9216999999999995,0.0012829399108886547
9,3.92385,0.001533279418945291
10,3.9255699999999996,0.0008303260803222429
11,3.92772,0.0011774635314941212
12,3.9298699999999998,0.0014945602416992004
13,3.93159,0.001714859008789041
14,3.93374,0.0017195320129394336
15,3.9358899999999997,0.0015272712707519306
16,3.93761,0.0015005683898925589
17,3.9397599999999997,0.001612052917480449
18,3.9419099999999996,0.002037296295165992
19,3.9436299999999997,0.0018196678161620941
20,3.9457799999999996,0.0016581153869628705
21,3.9479299999999995,0.0021594619750976347
22,3.95008,0.002280960083007788
23,3.9517999999999995,0.0019117927551269333
24,3.95395,0.002707538604736306
25,3.9560999999999997,0.00238777160644529
26,3.95782,0.0027108764648437296
27,3.9595399999999996,0.003558025360107406
28,3.9621199999999996,0.0037068939208984193
29,3.96384,0.004506645202636699
30,3.9655599999999995,0.00858484268188475
31,3.96771,0.01783605575561522
32,3.9698599999999997,0.03350730895996092
33,3.9720099999999996,0.058522567749023424
34,3.9737299999999998,0.09183307647705077
35,3.9758799999999996,0.1336945152282715
36,3.9776,0.186691722869873
37,3.9797499999999997,0.2538127517700195
38,3.9818999999999996,0.32899671554565424
39,3.9836199999999997,0.4145327186584473
40,3.9861999999999997,0.5161305046081542
41,3.98792,0.6188297843933105
42,3.99007,0.7522627449035646
43,3.9922199999999997,0.9136135673522947
44,3.99394,1.0745751953125002
45,3.9960899999999997,1.2484276390075681
46,3.9982399999999996,1.4444875335693357
47,3.9999599999999997,1.6683170890808108
48,4.00211,1.9479683494567874
49,4.0042599999999995,2.294339427947998
50,4.005979999999999,2.673111782073974
51,4.0081299999999995,3.1978741264343253
52,4.00985,3.8347952461242665
53,4.012,4.585447940826416
54,4.013719999999999,5.345922622680664
55,4.01587,6.283853969573973
56,4.01802,7.216147670745849
57,4.01974,8.078837642669676
58,4.021889999999999,8.989989337921143
59,4.02361,9.934794006347655
60,4.02576,10.76332698822021
61,4.02791,11.630127868652345
62,4.03006,12.431547412872316
63,4.032209999999999,13.126716861724853
64,4.0343599999999995,13.900500259399415
65,4.03651,14.57391019821167
66,4.0378,15.02785583496094
67,4.039949999999999,15.64451948165894
68,4.042529999999999,16.17457633972168
69,4.04425,16.505196056365964
70,4.0464,16.64311643600464
71,4.048119999999999,16.53547845840454
72,4.050269999999999,16.19335313796997
73,4.05199,15.762408695220948
74,4.05414,15.014710674285892
75,4.05629,14.353694877624514
76,4.0580099999999995,13.60882402420044
77,4.06016,12.76559778213501
78,4.06231,11.835770092010497
79,4.06403,11.112231502532957
80,4.066179999999999,10.211652145385743
81,4.0679,9.485483989715577
82,4.07005,8.56378065109253
83,4.0722,7.637904319763185
84,4.073919999999999,6.889033374786378
85,4.07607,6.016307792663574
86,4.07822,5.148947486877441
87,4.07994,4.432473812103271
88,4.081659999999999,3.671994457244872
89,4.08381,3.1119936561584467
90,4.08553,2.6803402519226083
91,4.08768,2.2904955482482907
92,4.089829999999999,1.9735056495666505
93,4.0919799999999995,1.6541492080688476
94,4.0937,1.4259096717834472
95,4.0958499999999995,1.1776730155944823
96,4.098,0.9699519729614258
97,4.09972,0.8035856819152832
98,4.10187,0.6587465858459473
99,4.10359,0.5488488769531249
100,4.105739999999999,0.45354763031005857
101,4.107889999999999,0.3804631805419922
