,dcm_energy,xmu
0,11666.74550754813,32.82870713274196
1,11676.79015282155,30.34088413688064
2,11686.798890925002,30.871309614510395
3,11696.789343864526,29.456693979821615
4,11706.7434844113,28.699912229330238
5,11716.79247336322,27.92933007367243
6,11726.70941081241,26.911435408487826
7,11736.685347543988,26.417501674676927
8,11746.732551945106,26.19410769054494
9,11756.719043088931,26.09532965815913
10,11766.740849351185,26.049547269631177
11,11776.773970113074,24.63368412106156
12,11786.685426369895,25.17421892142685
13,11796.77731954917,24.634305341317287
14,11806.777571008499,23.67031834704871
15,11816.740349200314,23.692673107246097
16,11826.701937589374,22.745916374735565
17,11836.704966342873,22.307810164827643
18,11838.662497522027,22.05491226184634
19,11840.645090808688,22.3868615165795
20,11842.634461174588,22.56020044029547
21,11844.661142735104,22.54388360171461
22,11846.639667094925,22.814918846483113
23,11848.63719103503,23.67237478033537
24,11850.647621921355,23.296940903681133
25,11852.64651717604,22.88833686707714
26,11854.6460965225,24.156484737663174
27,11856.658596446174,22.830048821473518
28,11856.946153014347,23.675842245345198
29,11857.252079788403,24.053409790501796
30,11857.545784556409,23.49358098968173
31,11857.839504083002,24.33325884816111
32,11858.145477618207,24.890197252689774
33,11858.445347221956,25.6169769359788
34,11858.739111953617,25.066542611039054
35,11859.03289144836,25.121481044687577
36,11859.369531937014,24.97666129950442
37,11859.65110068741,25.227383950769887
38,11859.938804504653,24.512258655850808
39,11860.244887938528,24.57729186918299
40,11860.55710955018,25.195802285055183
41,11860.857102882928,24.927727898596345
42,11861.138743285077,24.75829105023663
43,11861.457135728442,24.00766244364221
44,11861.751051834257,25.774432006690333
45,11862.06335388511,25.97950294018352
46,11862.351176426648,25.56308008636928
47,11862.66351053101,26.85500906227579
48,11862.957487280668,25.73642545312832
49,11863.269853770593,26.468179841326158
50,11863.563861003146,27.815304282014463
51,11863.87625988365,27.738377180469346
52,11864.164171667191,27.400215873816084
53,11864.464350107537,28.051840661956476
54,11864.7706705205,29.552610506914913
55,11865.07088009075,30.0052254235438
56,11865.371105070511,29.973612758816582
57,11865.683600498138,30.28742966036325
58,11865.989984772297,30.99207537381473
59,11866.271872478666,32.875173660864604
60,11866.584416032838,32.120957957151674
61,11866.890847493616,33.951509497278536
62,11867.191165899154,33.8246364001707
63,11867.479240897317,36.924007786413995
64,11867.785719234449,36.53745901345783
65,11868.079953543578,36.91734643571699
66,11868.392593711626,41.90208514021104
67,11868.674597213363,42.64881115934964
68,11868.987269159103,44.935747009592326
69,11869.28769519961,46.784652534415876
70,11869.588136666212,53.21700586800123
71,11869.894725494085,57.846482996331275
72,11870.18906588245,63.291399290123486
73,11870.489553634447,69.78132313464089
74,11870.777791079168,78.1435177357843
75,11871.072175889749,86.83429506679232
76,11871.384975977971,96.13159710302362
77,11871.67325753029,105.38410730422395
78,11871.992223880572,120.7854585856945
79,11872.286669788034,135.30566599323222
80,11872.568861017202,153.6707888534246
81,11872.863335936885,172.23808525891354
82,11873.182367153138,208.4131215432887
83,11873.476872941572,236.98760683968683
84,11873.77752955229,261.4641566910294
85,11874.072065288023,291.68480987569467
86,11874.391162393484,319.0515100400244
87,11874.685729007482,325.0564535659007
88,11874.986447715679,332.60155126333177
89,11875.293319465041,324.0360427562722
90,11875.594069386818,308.0605962102224
91,11875.888696536234,288.7620522001209
92,11876.195615584344,264.15636352413077
93,11876.508689589833,236.18203028900075
94,11876.797223595077,215.97032847692122
95,11877.091911298488,198.17045349041786
96,11877.405033235273,184.11271874935323
97,11877.69975153169,173.95780886210497
98,11877.994484662791,169.4056408072377
99,11878.289232629682,161.95382662643487
100,11878.596277538974,159.0260430502845
101,11878.897197170623,157.66577582595343
102,11879.191990579075,157.84510478065462
103,11879.499082826946,152.42036137684323
104,11879.806191178868,153.85473903837791
105,11880.094887714464,152.21496798972183
106,11880.395884362026,151.08679143002476
107,11880.709183016934,148.91430947999638
108,11880.991780493081,147.2957183644655
109,11881.292823238005,142.48169271681377
110,11881.587737256377,141.97394348652116
111,11881.894955149228,137.60356122547276
112,11882.189899486291,139.47933261817107
113,11882.491003816052,133.68462799149165
114,11882.798269087305,134.41354971028056
115,11883.087113138281,132.04095345520685
116,11883.375971431808,126.53184024167008
117,11883.689429523438,127.81192787151448
118,11883.990610939694,128.63083892043124
119,11884.291807839987,127.20915193839309
120,11884.574578205844,127.3845585997944
121,11884.894248097435,125.07144923390835
122,11885.183195506454,124.94854053646617
123,11885.484453722558,125.42934538562939
124,11885.779578830774,123.99128704747388
125,11886.099314473071,127.8057781009815
126,11886.394470551835,124.67889042049033
127,11886.68964149819,126.85355555597484
128,11887.003276920394,126.84171748964837
129,11887.304628726433,123.90337476151599
130,11887.587544524835,127.09605334278098
131,11887.901228006709,131.10076220434223
132,11888.202625991335,129.28621369570706
133,11888.504039476622,129.749094642412
134,11888.793164936327,131.60444619573815
135,11889.100760870595,131.7797294655167
136,11889.40222054858,133.84175725935035
137,11889.703695731963,133.97107145513684
138,11889.9990333957,137.85550232549247
139,11890.312845968872,135.89544231945416
140,11890.602060667146,135.96822479417096
141,11890.909751543279,136.29829404493685
142,11891.205149979141,137.87116473130703
143,11891.50671790332,136.50608413694516
144,11891.703668594988,135.54489614980986
145,11892.713144749034,136.549642284537
146,11893.704323972703,134.5575427887402
147,11894.732618615682,132.70129149013738
148,11895.773411766235,125.54804031430054
149,11896.826710031377,122.34564482679461
150,11897.904842735426,119.2652376314235
151,11899.007823521906,116.67427070628561
152,11900.14799370165,112.04087760850949
153,11901.282220632263,111.12973524308957
154,11902.422832931363,105.15952757247504
155,11903.619172678189,100.44803805545921
156,11904.784913506788,98.12347298819772
157,11906.012584036991,95.49503513820973
158,11907.24051138955,93.40286902582811
159,11908.481040509243,91.43371705710393
160,11909.752700601815,89.61678403192118
