time,dcm_energy,xmu
1594452564.041784,4766.403007264856,162.91961814849745
1594452567.5956368,4776.407423973009,153.55628081582898
1594452574.8985794,4786.404888997135,149.2660825473116
1594452583.5936007,4796.407923398971,133.9488628533162
1594452585.6052246,4806.407908510553,128.5314611947932
1594452588.109974,4816.408206516366,117.756531297257
1594452590.0888245,4826.406617729858,106.7195760650447
1594452592.0550978,4836.404674111066,94.24508652408397
1594452594.0520153,4846.405832002649,89.66646041758167
1594452596.062141,4856.403155492402,84.80704238648654
1594452597.7818773,4866.399136130654,79.4238157614578
1594452599.5644336,4876.395354988842,72.0165280359181
1594452601.3241708,4886.399207219873,63.71557453695421
1594452603.0804024,4896.403703482081,62.02467821121879
1594452604.8889806,4906.400758180604,54.50581398910678
1594452606.8687582,4916.401678619883,56.07140124625958
1594452608.8716667,4926.402280863328,53.16495092952417
1594452610.8342094,4936.40225056291,53.18980521742349
1594452612.577541,4938.397721939708,51.98424090506838
1594452614.330687,4940.3979230890845,53.79300773470565
1594452616.0854993,4942.3969356103125,52.29567220944987
1594452617.7871454,4944.395742868176,54.727798207922255
1594452619.468706,4946.39434188142,56.17413314138128
1594452621.185456,4948.393720384089,56.374666767230956
1594452622.940825,4950.390903227096,56.444052083867675
1594452624.6012065,4952.393821942049,58.064071785214225
1594452626.3245947,4954.393549163978,60.90111286085129
1594452628.041247,4956.395045141472,65.23892777692389
1594452630.4799109,4956.596883018838,67.00622049123483
1594452632.8438094,4956.794761261847,65.27928703455049
1594452635.0713627,4956.993651293559,65.57455629047857
1594452637.15108,4957.193553378253,64.86581631497828
1594452639.432436,4957.394467781585,66.36160372492849
1594452641.4808645,4957.594405254308,65.11960689677618
1594452643.3084912,4957.796350072492,65.70048812310623
1594452645.11517,4957.996323030171,68.8858308070563
1594452646.8479493,4958.198303691002,66.10141201282727
1594452648.4809773,4958.398312142767,71.30960263674856
1594452650.190671,4958.598338257119,68.71975354173223
1594452651.8551412,4958.7993773231665,74.3353269474974
1594452653.5928748,4958.998443482628,69.5902062284206
1594452655.3481815,4959.197527136083,70.75763137908723
1594452657.1050277,4959.395632736486,70.5563186055463
1594452658.8954654,4959.596742571098,72.17627894332433
1594452660.5911002,4959.796874532569,70.66929845080786
1594452662.2398617,4959.998019985991,72.51184263901176
1594452663.8573682,4960.1991832964495,72.48740616489172
1594452665.489296,4960.400364466243,75.2124434967196
1594452667.0882044,4960.599571340497,71.21292408948652
1594452668.792573,4960.798795726671,74.19852646516502
1594452670.4880955,4960.998037626996,76.17221444305196
1594452672.204857,4961.1972970437055,74.85245122178569
1594452673.8654242,4961.397570407724,77.79794164359295
1594452675.4958215,4961.596864951505,78.4564677451861
1594452677.092837,4961.799166832787,76.23092396769306
1594452678.6965232,4962.001486769129,82.27020881147033
1594452680.3161314,4962.200834414749,79.02698780094269
1594452681.9043818,4962.40119646015,82.83886046678894
1594452683.4939418,4962.600579255387,82.98755552280092
1594452685.0911028,4962.800976630672,85.04029768398337
1594452686.8048465,4962.997403185644,85.91236139700561
1594452688.497465,4963.198832856082,88.40448461857679
1594452690.1014128,4963.397288493727,88.67150273491272
1594452691.7006295,4963.600748482286,87.7601076078126
1594452693.3247721,4963.801234265877,94.09773677500375
1594452694.9076412,4964.001737773186,93.53389330367808
1594452696.4951181,4964.202259006485,95.49953908614343
1594452698.0982203,4964.4018002178855,94.9923730651673
1594452699.7014928,4964.59936330926,98.54494183041373
1594452701.3276958,4964.800935306535,101.29398847219615
1594452702.9072669,4964.999531175175,105.70768847581277
1594452704.5049481,4965.199142530348,107.62538760454736
1594452706.1012487,4965.399769637728,110.76878312472769
1594452707.7053125,4965.599416209941,117.79076934014094
1594452709.330908,4965.801077080258,122.42040671838379
1594452710.9086523,4966.001757419956,128.3377977369988
1594452712.4978223,4966.200458424974,133.20501223796816
1594452714.112381,4966.400175458296,149.55626187329867
1594452715.7051115,4966.601907503453,160.30994502020334
1594452717.3384728,4966.7996622580695,181.63363064973723
1594452719.036928,4966.9974342442665,211.03510396475778
1594452720.6626558,4967.200218364597,251.33054694838378
1594452722.3075025,4967.4020215322025,307.8305830228698
1594452723.9023075,4967.599846009795,361.0476762234843
1594452725.511627,4967.801684707836,399.27967683355985
1594452727.114178,4968.002542017668,443.1511111192923
1594452728.712368,4968.2004188326555,452.1035250631753
1594452730.3425562,4968.398312894641,483.7836064984803
1594452731.9279141,4968.60022259188,511.0022062584531
1594452733.5184455,4968.799151187687,575.576679053455
1594452735.115458,4969.001096531461,641.286109658053
1594452736.7201457,4969.202059972722,727.4688111516887
1594452738.3469412,4969.402041248324,786.4451888009341
1594452739.9283574,4969.600040058568,829.3391509851654
1594452741.5252695,4969.803056760585,845.3934790470956
1594452743.1221688,4970.000090319892,841.7045890050665
1594452744.7222896,4970.199141573937,809.4289574699576
1594452746.3517807,4970.399210661141,797.9913349704547
1594452747.9380066,4970.600297848068,776.6924740132915
1594452749.5258265,4970.801402835836,763.235747740577
1594452751.12614,4971.002525626729,735.7624077212308
1594452752.7260456,4971.202665479472,686.2809525901802
1594452754.34799,4971.40182213187,652.4989574857409
1594452755.9337153,4971.600996241551,613.8912542389261
1594452757.5262663,4971.801188817486,586.8653313860598
1594452759.1226883,4971.99739465395,579.4784080749196
1594452760.7285483,4972.200625701458,578.5830205996263
1594452762.3524761,4972.400871108939,599.4136048210263
1594452763.9344356,4972.601134160835,629.9676289111123
1594452765.5326076,4972.802416307232,669.7036279413254
1594452767.1340811,4973.003716279497,706.4242273653034
1594452768.7305512,4973.200025958189,736.5234442514721
