time,dcm_energy,xmu
1594514959.0388112,4766.405744366592,5965.365222370531
1594514962.5954714,4776.407423973009,0.0
1594514970.520211,4786.365293359014,5144.127433402992
1594514978.9922721,4796.407923398971,3327.1780361696365
1594514982.4185545,4806.407908510553,6358.106573033867
1594514984.4159677,4816.4072729081345,10960.752359803033
1594514986.1797948,4826.4056798483,3782.749116936399
1594514987.9254494,4836.407500603777,4138.038421566212
1594514989.6823661,4846.4048855473175,0.0
1594514991.6654477,4856.403155492402,6821.356596569853
1594514993.479034,4866.402956380238,4909.073292203601
1594514995.2916732,4876.400151881286,4017.200656304807
1594514997.0967014,4886.4049894594145,5933.8580116890125
1594514998.868846,4896.405639567359,5844.9166957338375
1594515000.6845012,4906.406592495689,4018.159626091786
1594515002.4030344,4916.405585572606,4475.365152431689
1594515004.1267953,4926.400318666877,4055.8740681585355
1594515005.8388324,4936.401265094711,3014.697093595617
1594515007.47405,4938.3967355984905,6432.12089816651
1594515009.1849303,4940.3989103061695,4697.930354904546
1594515010.9305968,4942.3969356103125,3616.3426509010887
1594515012.6701534,4944.394753900737,4539.298940323432
1594515014.3772497,4946.396321569158,5209.3220257179855
1594515016.018299,4948.396692545755,9201.289364904926
1594515017.7370539,4950.400819206436,4835.62604108979
1594515019.4421976,4952.405731667146,3341.548933125606
1594515021.1525917,4954.403482707241,-35478.224743668776
1594515022.9014218,4956.402999002955,3001.2745775956914
1594515025.3504682,4956.595888699478,3643.7095682592258
1594515027.600818,4956.795755668549,4299.213018510598
1594515029.6209877,4956.9966347770305,3107.8213871516054
1594515031.4445906,4957.19753170829,10467.17810757227
1594515033.290164,4957.397451793204,22121.899899021755
1594515035.0922792,4957.597389529396,3052.9269480434236
1594515036.8140306,4957.797344919123,2741.38053650937
1594515038.6464462,4957.999307834918,5434.808416289364
1594515040.4859378,4958.196313645894,3155.8345979773917
1594515042.3103678,4958.396321921924,4505.924265560959
1594515044.2833412,4958.596347860517,4734.418168795561
1594515045.9970329,4958.7973867499095,6080.036812743764
1594515047.7483635,4958.996452734442,5169.3732371770575
1594515049.4959114,4959.197527136083,6310.559535501713
1594515051.1992967,4959.397623835471,5410.002167960421
1594515052.8370264,4959.5987338468285,1497969.9085501488
1594515054.553571,4959.797870258162,3510.8659902498753
1594515056.1925614,4959.997024172439,4314.429460273598
1594515057.840021,4960.1991832964495,3734.2523333859403
1594515059.5557318,4960.3963805073645,4085.371334108767
1594515061.185559,4960.595587031403,3514.5269558288232
1594515062.8273127,4960.797799561176,5664.590505276272
1594515064.4402401,4960.997041373925,3651.6049302706315
1594515066.0550685,4961.198293384801,3383.6013398348005
1594515067.6919377,4961.398566836859,4585.620885223962
1594515069.2975206,4961.59985450305,3192.0184329217464
1594515070.896843,4961.798170227546,3555.7072065609236
1594515072.4962459,4961.998496687881,5178.16323562815
1594515074.0922017,4962.199837632917,7698.810978080607
1594515075.7070599,4962.400199590225,0.0
1594515077.3134365,4962.59758838393,3716.0213347736926
1594515078.8985078,4962.797985494867,13841.607189482911
1594515080.5030475,4962.997403185644,4337.7494860227425
1594515082.0980544,4963.20082729871,3453.3108100817976
1594515083.7128677,4963.401277729826,3843.137229919973
1594515085.3253033,4963.60174588013,0.0
1594515086.9111354,4963.801234265877,7489.849543033876
1594515088.5023284,4963.999742626105,0.0
1594515090.098835,4964.198268361298,8527.34054557688
1594515091.7144506,4964.39780922163,0.0
1594515093.3263552,4964.597367636455,4539.300211332854
1594515094.9116697,4964.800935306535,9183.736650241275
1594515096.5067925,4965.000529188264,4250.228689331238
1594515098.104572,4965.20113873259,2193.863369371914
1594515099.7220688,4965.401766016496,3288.225707941323
1594515101.333123,4965.600414486939,4636.081637743635
1594515102.9149039,4965.80207544598,3577.952601528483
1594515104.509062,4965.997763608273,4223.598183759085
1594515106.1082797,4966.1974628032685,7817.1901878127155
1594515107.7226362,4966.399176829408,4008.325899138934
1594515109.333608,4966.598911351802,6043.2438516984175
1594515110.9144616,4966.801659868747,0.0
1594515112.508488,4967.003427603774,3089.8719236944544
1594515114.1158664,4967.203215310103,9920.330520575491
1594515115.727143,4967.401022462432,17664.73948827645
1594515117.3356183,4967.599846009795,0.0
1594515118.9207277,4967.80068546216,6315.218838983106
