time,dcm_energy,xmu
1594539805.7860465,4766.401182532293,0.0
1594539809.7483907,4776.407423973009,3039.711665192923
1594539817.5819244,4786.307282449741,5683.695363641523
1594539826.2852898,4796.408848485563,2566.969802467699
1594539827.4073088,4806.408837853748,0.0
1594539832.0279808,4816.404472085831,3940.5413574399136
1594539834.0289462,4826.404741967144,13063.687405573824
1594539835.7493253,4836.404674111066,6195.645865145685
1594539837.7768528,4846.401099730059,7445.178472200402
1594539839.4935637,4856.391746467952,3340.3680382952025
1594539841.3438857,4866.398181069289,4585.6208852239315
1594539843.0977945,4876.395354988842,3367.7381038827475
1594539844.8358157,4886.403062044563,5498.256689460871
1594539846.6453035,4896.40467152451,4586.204576317998
1594539848.4700623,4906.402702950609,7856.483334822542
1594539850.26705,4916.402655357427,9529.070665435855
1594539852.0685322,4926.404243061494,4853.686738727646
1594539853.8672633,4936.3983086927,6061.926889638988
1594539855.5534108,4938.40068096595,4377.183572259376
1594539857.3010013,4940.396935872432,3869.6111947643294
1594539859.0415514,4942.3969356103125,4542.360310835126
1594539860.7709355,4944.394753900737,0.0
1594539862.5062344,4946.398301258631,7125.647675769743
1594539864.2354224,4948.4016461572255,3675.097911204716
1594539865.9482985,4950.397844408067,3909.687006766495
1594539867.6993668,4952.398784319885,8426.078376597678
1594539869.4117503,4954.3995092847035,5489.301874005646
1594539871.1296818,4956.4010105349635,3512.8243055771486
1594539873.2828405,4956.596883018838,4672.807732685822
1594539875.3679492,4956.795755668549,7186.4207902754215
1594539877.4048371,4956.995640282103,4021.994451837384
1594539879.4038103,4957.194547960105,5045.555914130985
1594539881.5114195,4957.395462451687,4895.326498715549
1594539883.6187963,4957.594405254308,3118.172166126377
1594539885.619067,4957.797344919123,3730.004752507428
1594539887.4648597,4957.997317964649,7627.138027528947
1594539889.2640626,4958.197308668231,5201.28440488505
1594539890.963226,4958.399307253845,5145.696718533549
1594539892.618276,4958.597343058599,3438.8657222384227
1594539894.2555757,4958.7993773231665,3589.3837599998055
1594539895.9614813,4958.997448108317,3734.2523333858217
1594539897.753626,4959.196531674296,6128.057001163515
1594539899.5173614,4959.39463718765,3795.0707752977196
1594539901.3639193,4959.595746933888,0.0
1594539903.1283116,4959.796874532569,4566.980149918182
1594539904.8769925,4959.997024172439,0.0
1594539906.5680974,4960.197191492971,4043.1014028067016
1594539908.2139018,4960.398372485929,14718.040832478286
1594539909.8085282,4960.600567418866,2969.634820772637
1594539911.4154646,4960.798795726671,0.0
1594539913.0263002,4961.0000301344535,4071.9512599113536
1594539914.667347,4961.198293384801,0.0
1594539916.279917,4961.397570407724,4351.398895395383
1594539917.9675658,4961.597861468249,5116.0174474278865
1594539919.658185,4961.7961770183765,5480.37617990165
1594539921.2711096,4961.998496687881,0.0
1594539922.8658996,4962.198840851523,4578.147642441794
1594539924.4664896,4962.40119646015,7748.11804744575
1594539926.0661957,4962.6025731718855,3347.9503678632914
1594539927.6688166,4962.800976630672,0.0
1594539929.2770271,4962.999397451118,3242.3563859455357
1594539930.8691146,4963.197835635426,5216.806244849245
1594539932.4653163,4963.398285802093,3299.4931907644545
1594539934.075576,4963.597756291386,19710.124857522238
1594539935.6717846,4963.799239295161,8940.136208591042
1594539937.27604,4964.001737773186,4598.1328112410065
1594539938.875199,4964.202259006485,3576.8144904656606
