time,dcm_energy,xmu
1594416360.7143605,5523.406866526952,929.3591594631123
1594416363.46682,5533.402719364823,942.5838964125924
1594416368.7144177,5543.4007351117025,944.5810281677718
1594416375.8471835,5553.407066685804,955.9198837438364
1594416381.1713548,5563.411364178226,959.3232017103632
1594416383.024061,5573.408245922279,974.3089782344174
1594416384.7188213,5583.406403851335,965.1998878856518
1594416386.7169814,5593.40949954976,978.0574406618966
1594416388.4316647,5603.406989260526,984.7056381208894
1594416390.0789115,5613.406391599123,997.9154915436621
1594416391.7237613,5623.406196512323,989.5744530886243
1594416393.5647287,5633.40487248095,1014.4331877097552
1594416395.2882974,5643.396916796204,999.0792979259057
1594416396.9983566,5653.397889842817,1022.0162441079336
1594416398.6819985,5663.394406326752,1037.3225746024136
1594416400.4096072,5673.396847269357,1047.1575842953016
1594416402.0938363,5683.399713662292,1064.6860261556167
1594416403.723797,5693.405474352838,1076.4969548536108
1594416405.4371886,5695.394497929039,1074.3457197520106
1594416407.2027133,5697.394412464497,1084.1386876594643
1594416408.9652164,5699.393139005304,1090.491745603642
1594416410.6680198,5701.396055733998,1090.7467464748527
1594416412.3928592,5703.392397107547,1096.3622623699555
1594416414.1824715,5705.401013917022,1120.2358481926224
1594416416.004658,5707.396307206574,1129.9968557094132
1594416417.7913551,5709.395791210844,1141.5092462943758
1594416419.5675492,5711.400824323207,1168.3538136188133
1594416421.3752375,5713.399251920411,1196.1589741304804
1594416423.7352624,5713.639866563294,1200.274500282476
1594416426.3249946,5713.888614565052,1189.7565277455612
1594416428.841387,5714.140089861156,1217.4002548685773
1594416431.2808585,5714.390236591265,1212.643651782078
1594416433.4010952,5714.639054379282,1213.8745755106154
1594416435.295671,5714.891952690818,1225.846789678581
1594416437.1412988,5715.142169732184,1226.6666415620366
1594416438.8393912,5715.392410174901,1238.9942592438385
1594416440.4957116,5715.645379705166,1246.7508887728188
1594416442.2145476,5715.895667213271,1241.4927330993523
1594416443.8635478,5716.145978132372,1250.2443322554998
1594416445.5024967,5716.393606023354,1274.4307372493088
1594416447.1053448,5716.645316868302,1291.396605453959
1594416448.7503633,5716.891637493041,1277.2549055089257
1594416450.4509923,5717.143395180982,1298.87805199807
1594416452.1398313,5717.395176549854,1306.6388912334442
1594416453.7476015,5717.645627748983,1342.4316572184218
1594416455.3411458,5717.897456362148,1339.1621309953393
1594416456.9471595,5718.1479545580205,1367.3612442062797
1594416458.5672805,5718.398476193754,1377.968659286258
1594416460.1644564,5718.650375633987,1391.7973343279737
1594416461.7517183,5718.899589797642,1404.4744285307934
1594416463.345612,5719.148827157967,1435.8673593654946
1594416464.9511936,5719.399442458477,1455.3399578282338
1594416466.5778153,5719.648726347747,1478.5188349379878
1594416468.1725504,5719.898033443192,1500.2576805903982
1594416469.7678952,5720.1487188673955,1544.1349190131514
1594416471.358255,5720.398072510846,1573.284421657833
1594416472.9584925,5720.648804742434,1605.9172318582855
1594416474.5783298,5720.900915945971,1643.578128487085
1594416476.1709034,5721.150339624617,1667.843789329785
1594416477.770337,5721.3997865284955,1706.9916479232052
1594416479.354625,5721.650612540177,1764.4942918827637
1594416480.9616287,5721.900106030289,1794.9942450242174
1594416482.5627437,5722.148266623193,1827.973043087446
1594416484.1574087,5722.396450202103,1887.7887006700307
1594416485.7630339,5722.648725921806,1951.0420679519793
1594416487.3509257,5722.901025393823,2024.954756129876
1594416488.962609,5723.151991981416,2115.0839927580428
1594416490.590618,5723.402982073073,2196.3672939039234
1594416492.1838667,5723.65128188578,2321.015715834935
1594416493.7757554,5723.902318741048,2414.7527238933717
1594416495.3687167,5724.14930767321,2553.0566931680873
1594416496.9616957,5724.399033906365,2658.6298530516065
1594416498.591781,5724.648783406017,2806.0693446432047
1594416500.1807904,5724.897198651742,2932.871181965387
1594416501.77986,5725.149709868282,3069.1133555924803
1594416503.362158,5725.403602648962,3219.3810794738565
1594416504.9677253,5725.653445752452,3364.8292697904503
1594416506.587626,5725.900596074234,3540.7677071850335
1594416508.1756828,5726.149127335061,3699.4426725992525
1594416509.7742612,5726.399039915675,3861.3054444657396
1594416511.3670275,5726.650334198991,3998.634055981238
1594416512.968223,5726.897576419153,4188.476222283336
1594416514.5998712,5727.148917421776,4322.189941684781
1594416516.1937346,5727.400281979825,4420.245818565069
1594416517.7903323,5727.65302901524,4536.207639287204
1594416519.3859434,5727.903081775135,4607.022228286008
1594416520.9742281,5728.150439502599,4624.639802189363
1594416522.590144,5728.400538634357,4691.752234409562
1594416524.1798122,5728.650661083504,4711.493972039499
1594416525.7681615,5728.900806853221,4731.664499157849
1594416527.3757303,5729.149616269014,4719.099177928207
1594416528.9709322,5729.399808562641,4732.348917059826
1594416530.5922682,5729.650024186376,4772.529020841355
1594416532.185031,5729.901623201493,4765.9098022093385
1594416533.7802231,5730.151885621838,4749.260278446968
1594416535.372816,5730.400811070089,4752.666747581125
1594416536.9802036,5730.65248048477,4731.366345929731
1594416538.6045954,5730.90009180334,4708.585851810163
1594416540.192735,5731.150447347737,4669.195309558329
1594416541.7851124,5731.398104609243,4635.418980645402
1594416543.3835876,5731.649867551997,4591.928505292386
1594416544.9841948,5731.8989319650145,4577.0172779320965
1594416546.596539,5732.150741882392,4535.202156019113
1594416548.1849363,5732.405298073372,4484.266591940681
1594416549.7895138,5732.653071126258,4476.426834471055
1594416551.3761044,5732.903590204483,4434.636647150809
1594416552.9848592,5733.148685833818,4391.843891509771
1594416554.5991378,5733.399251156481,4360.118681488924
1594416556.1870914,5733.648477901879,4313.996380536295
1594416557.7887893,5733.900451948189,4289.847956085155
1594416559.385045,5734.152449636854,4309.061296135832
1594416560.9757383,5734.400383950046,4258.040817613133
1594416562.6095023,5734.651066082833,4248.995978286136
1594416564.2087398,5734.903134206633,4255.504937928125
1594416565.795431,5735.153863263855,4223.323657655524
1594416567.3881264,5735.401890028475,4221.670632518776
1594416568.9966903,5735.649939693626,4271.5038122405595
1594416570.60213,5735.90073846183,4267.591753640561
1594416572.1993363,5736.1474709631475,4267.254646559649
1594416573.7932324,5736.401042885771,4297.21827644821
1594416575.392197,5736.65327525707,4350.871333654976
1594416576.9963126,5736.902804087193,4329.599375318623
1594416578.6076808,5737.152356089139,4359.68918876314
1594416580.1959524,5737.401931266062,4392.872343117252
1594416581.8019974,5737.652893610233,4411.835170846067
1594416583.3976052,5737.901151157448,4440.297793098407
1594416584.9956422,5738.149431636406,4429.827462913359
1594416586.6068802,5738.397735050213,4423.123447540495
1594416588.2000282,5738.648790390405,4422.347993577609
1594416589.788914,5738.898504556646,4420.395022409754
1594416591.4023788,5739.152336168331,4363.680202674651
1594416593.0010693,5739.402097112154,4326.957756020498
1594416594.6012957,5739.6546112689575,4282.976196354295
1594416596.2027652,5739.901688613151,4222.061820335018
1594416597.796382,5740.150153919231,4185.999039301042
1594416599.39781,5740.400007568738,4153.891117130377
1594416601.005792,5740.649884434258,4045.6664453209696
1594416602.6178465,5740.901150156975,4006.0040575580806
1594416604.212156,5741.151073590904,3923.250655152205
1594416605.8000598,5741.402386142896,3846.579418282254
1594416607.41225,5741.652356157948,3800.9401641596937
1594416609.006933,5741.903715551995,3710.828492305377
1594416610.6108687,5742.153732160885,3668.4111753180537
1594416612.2106433,5742.401039206435,3597.6644635797406
1594416613.8068154,5742.6497355141155,3539.186635195138
1594416615.4087207,5742.897088160546,3479.400408028475
1594416617.0154684,5743.148563885384,3440.5453538345746
