time,dcm_energy,xmu
1594433012.7853236,5523.406866526952,1027.9804335147994
1594433016.028523,5533.405243693726,1035.260729172981
1594433021.053737,5543.301906081307,1039.150051372163
1594433028.314574,5553.405794710936,1054.9556603759345
1594433035.1175506,5563.408810389387,1070.4360508468235
1594433036.9515953,5573.409527742621,1072.3945926207439
1594433038.9414594,5583.407690606043,1062.2037849023156
1594433040.9309576,5593.408207850125,1088.98013550476
1594433042.6368504,5603.408285912359,1087.8677135283608
1594433044.5273523,5613.405089986669,1092.7264116990232
1594433046.3316624,5623.402276766238,1106.2014812269276
1594433048.16982,5633.406184042709,1116.2291028346988
1594433049.814086,5643.403499530979,1121.9502101852408
1594433051.4581668,5653.391282139036,1136.219522374552
1594433053.1955385,5663.39705942016,1151.4857101902833
1594433054.8449588,5673.398178831095,1163.384212169972
1594433056.7017338,5683.399713662292,1161.6941415531228
1594433058.3315823,5693.402791113524,1164.0480448363621
1594433060.0598264,5695.39584055157,1174.4607288966106
1594433061.7929518,5697.395756094721,1177.443414555482
1594433063.540814,5699.393139005304,1162.062876638337
1594433065.33928,5701.392018795325,1177.5674181691554
1594433067.0604155,5703.393743762074,1205.6375591725778
1594433068.8128705,5705.391580259957,1191.280845441861
1594433070.5751598,5707.394958532123,1199.9977278293165
1594433072.3347948,5709.401189953788,1221.672754968715
1594433074.0632646,5711.400824323207,1225.1815021284
1594433075.8217442,5713.401955335494,1240.340608165302
1594433078.2552946,5713.641218392094,1249.434481873789
1594433080.6787324,5713.888614565052,1246.5421381186416
1594433083.1017168,5714.140089861156,1248.9182378250794
1594433085.4908376,5714.390236591265,1250.3661881626401
1594433087.8881757,5714.640406713097,1255.7618248814908
1594433089.9501936,5714.889247769571,1267.3053963354073
1594433092.16239,5715.140817144735,1260.5606332117038
1594433094.148551,5715.391057460948,1271.9854581440059
1594433095.8473966,5715.642674022171,1263.8440368831655
1594433097.4961624,5715.895667213271,1278.6458185985537
1594433099.146836,5716.144625037439,1271.2611577808848
1594433100.7499273,5716.396312465677,1279.614521927158
1594433102.3502445,5716.648023565173,1289.6593124480632
1594433103.967999,5716.897051387734,1289.850049858761
1594433105.5635655,5717.1474559828985,1310.8454280580218
1594433107.1622653,5717.396530277134,1306.859661366623
1594433108.7558749,5717.645627748983,1334.853500839379
1594433110.3421538,5717.896102381534,1316.2212557569667
1594433111.9522429,5718.149308666014,1333.3003691629676
1594433113.5548055,5718.399830428457,1332.9142182412659
1594433115.1565387,5718.649021272557,1356.162981127357
1594433116.7594209,5718.899589797642,1348.8388282675212
1594433118.3484411,5719.150181772222,1370.9207638801115
1594433119.9716997,5719.399442458477,1387.703065916058
1594433121.5644023,5719.64601661551,1395.1204914727493
1594433123.159247,5719.896678450601,1411.2122223504527
1594433124.7618053,5720.146008629237,1426.7024860562783
1594433126.3439782,5720.396717265262,1438.4540352331228
1594433127.9677672,5720.6501601155705,1469.2622642272593
1594433129.560366,5720.898204946615,1491.7806341884548
1594433131.1670241,5721.148983998379,1495.9719581874497
1594433132.7668107,5721.3997865284955,1515.1924730316766
1594433134.3545969,5721.650612540177,1543.3145786997814
1594433135.9763365,5721.9028180436935,1574.0214808387555
1594433137.571003,5722.146910491922,1602.6303307195262
1594433139.185787,5722.397806459675,1639.3523835712626
1594433140.770982,5722.648725921806,1661.6933392723386
1594433142.3604205,5722.899668881537,1699.40803010077
1594433143.9668949,5723.150635342089,1764.4741403210082
1594433145.5653565,5723.401625306687,1796.9072837681686
1594433147.1654196,5723.653995672015,1869.6305124147011
1594433148.7632542,5723.902318741048,1940.2714220317318
1594433150.3604207,5724.14930767321,2007.4810311750416
1594433151.9694445,5724.399033906365,2067.584580358031
1594433153.5721705,5724.648783406017,2158.779418041711
1594433155.1887946,5724.898556175339,2243.314382279253
1594433156.7821743,5725.148352217508,2319.5546484508836
1594433158.363563,5725.402244869613,2388.2986632174643
1594433159.976994,5725.65072994139,2490.284602539764
1594433161.5782595,5725.900596074234,2586.2782129109096
1594433163.1915228,5726.153201809934,2681.3637188713224
1594433164.7901118,5726.400398199857,2794.1644784642767
1594433166.3795254,5726.648975788215,2879.5168784639154
1594433167.973755,5726.896217883141,2963.3241200140315
1594433169.5817804,5727.151634750501,3035.972239902409
1594433171.194484,5727.402999563221,3115.619953215294
1594433172.7909813,5727.650311178516,3165.869950784628
1594433174.3733492,5727.903081775135,3207.8701873688574
1594433175.9844437,5728.154517018863,3236.1651415702668
1594433177.580973,5728.400538634357,3239.627858824362
1594433179.1929207,5728.647942235872,3251.961874092827
1594433180.7908359,5728.900806853221,3280.7112965040474
1594433182.3801675,5729.149616269014,3258.3249709413994
1594433183.9858294,5729.399808562641,3251.666347993369
1594433185.5864432,5729.651384117643,3263.6779401314798
1594433187.1977208,5729.904343319736,3259.0612975702206
1594433188.791711,5730.153245807453,3259.3256330439363
1594433190.3840005,5730.400811070089,3228.5749562431743
1594433191.9946504,5730.649759608155,3195.06865786275
1594433193.586292,5730.901452368192,3205.2464917290336
1594433195.195174,5731.149086656668,3183.1972065978434
1594433196.790266,5731.399465426546,3166.824546956386
1594433198.3877015,5731.651228496931,3173.5614325554807
1594433199.9918969,5731.903015180691,3119.4595007804937
1594433201.5953686,5732.153464280819,3097.736316133665
1594433203.1980937,5732.402575419578,3093.5610669301327
1594433204.7968922,5732.650348221202,3052.1163891332326
1594433206.3873384,5732.900867045373,3020.485778042818
1594433207.9938376,5733.150047538694,2999.27812128556
1594433209.60136,5733.397889325235,2974.1135261967975
1594433211.200005,5733.649839860205,2966.9749008041686
