time,dcm_energy,xmu
1594423768.6376827,5523.405609252864,1136.0425692031156
1594423771.7268226,5533.405243693726,1151.9509479766637
1594423776.9044743,5543.399468048925,1161.1291270542006
1594423783.9122882,5553.4083386613,1169.3783649683512
1594423789.3079283,5563.410087283492,1175.2796496201602
1594423791.5319505,5573.410809563595,1177.5537248354126
1594423793.7628524,5583.410264117364,1200.7693585720122
1594423795.7349145,5593.40949954976,1197.078955262091
1594423797.7213993,5603.405692609338,1207.5744050528567
1594423799.5797427,5613.402486763703,1227.9005397011667
1594423801.2808702,5623.406196512323,1236.1541811993623
1594423803.141033,5633.403560919845,1250.080913320155
1594423804.9714324,5643.403499530979,1246.9105335628642
1594423806.6871436,5653.631813202263,1257.1466676269595
1594423808.541727,5663.39705942016,1270.5194450812771
1594423810.24266,5673.394184147884,1271.874657068443
1594423811.8962286,5683.401050248382,1299.3342824425947
1594423813.6296165,5693.40144949488,1313.3536231930657
1594423815.4118114,5695.394497929039,1311.839248467086
1594423817.232128,5697.395756094721,1306.3086841890977
1594423818.9800937,5699.393139005304,1316.125770456265
1594423820.7137156,5701.390673150458,1325.0942661780034
1594423822.5462244,5703.392397107547,1338.7012593665863
1594423824.3713603,5705.391580259957,1336.163156708936
1594423826.2032065,5707.401701911187,1370.305331335237
1594423828.005413,5709.39984026703,1354.855903384307
1594423829.8009448,5711.3981229303545,1364.0425213057872
1594423831.609177,5713.399251920411,1394.4103782660884
1594423833.9475029,5713.641218392094,1391.606653662852
1594423836.3320112,5713.889966519568,1396.9515806211748
1594423838.7328382,5714.14144194277,1396.24793934065
1594423840.95737,5714.390236591265,1401.5752225510387
1594423843.3271034,5714.640406713097,1418.703455397183
1594423845.348788,5714.890600229852,1411.8762620186578
1594423847.334819,5715.142169732184,1398.0458772383254
1594423849.189872,5715.392410174901,1422.2968560690063
1594423850.8999143,5715.6413211817,1450.6457046993676
1594423852.546877,5715.894314244893,1445.9644040836786
1594423854.1603434,5716.144625037439,1449.6137082933296
1594423855.7956138,5716.396312465677,1446.0831080245775
1594423857.3955204,5716.645316868302,1450.6513407084708
1594423858.9962125,5716.8956979130335,1453.1202811070318
1594423860.6216488,5717.143395180982,1462.0407224146202
1594423862.3321793,5717.392469097348,1473.7897505376955
1594423863.946962,5717.641566191275,1471.3002008721517
1594423865.56063,5717.896102381534,1488.1880390119404
1594423867.1620302,5718.145246344091,1481.6185300840418
1594423868.7960281,5718.397121959734,1510.8003157559233
1594423870.3972208,5718.649021272557,1517.3220554716559
1594423871.9946997,5718.899589797642,1525.8434402366272
1594423873.6213872,5719.148827157967,1545.5113413910076
1594423875.2366157,5719.398087718129,1562.0892407191943
1594423876.851714,5719.6473714812855,1580.8284577521931
1594423878.463418,5719.898033443192,1592.3831831266396
1594423880.1384695,5720.150073987504,1604.4899970978338
1594423881.7525847,5720.398072510846,1635.9611256672426
1594423883.399252,5720.648804742434,1656.5426534966657
1594423885.0039425,5720.898204946615,1670.5404285351153
1594423886.6198058,5721.150339624617,1700.4796913141151
1594423888.2420418,5721.3997865284955,1734.448656072621
1594423889.828247,5721.650612540177,1738.035358836994
1594423891.419298,5721.898750024617,1773.6499778656776
1594423893.0161705,5722.146910491922,1801.9799218257135
1594423894.6696126,5722.397806459675,1827.4273384697622
1594423896.3193045,5722.650082307069,1867.0014828390183
1594423897.9642093,5722.898312369935,1920.0518840301095
1594423899.5726671,5723.150635342089,1972.2144759181913
1594423901.2098048,5723.404338840144,2051.6187983866853
1594423902.8052588,5723.652638778555,2114.3688160963147
1594423904.4104216,5723.900961721869,2201.5444964081976
1594423906.0077302,5724.147950528983,2276.3751982853028
1594423907.6315699,5724.400391177718,2358.8233135263736
1594423909.247696,5724.648783406017,2435.7952418022765
1594423910.827009,5724.898556175339,2514.0357725729664
1594423912.4247298,5725.151067519747,2616.939335381461
1594423914.018766,5725.402244869613,2725.264376288163
1594423915.643634,5725.65072994139,2800.454903776612
1594423917.2619667,5725.900596074234,2912.1173165875794
1594423918.8719296,5726.153201809934,3004.1663849660868
1594423920.5347393,5726.397681632183,3126.5239858652203
1594423922.175479,5726.650334198991,3246.445359125822
1594423923.7944727,5726.897576419153,3335.459095372452
1594423925.4187927,5727.150276085794,3424.1237964817415
1594423927.0168679,5727.40164077118,3483.0502940306656
1594423928.6355162,5727.651670096533,3563.4976972596214
1594423930.2613924,5727.903081775135,3592.3587432610466
1594423931.8856452,5728.154517018863,3642.560889092778
1594423933.5341694,5728.400538634357,3673.9546985990432
1594423935.1789103,5728.647942235872,3667.9968119869554
1594423936.7882886,5728.903525957111,3690.560632921074
1594423938.4289305,5729.149616269014,3673.7496512838593
1594423940.0247934,5729.401168367107,3648.7795155123254
1594423941.6519437,5729.651384117643,3638.7328807316007
1594423943.2699938,5729.902983260268,3652.8589808990255
1594423944.8872726,5730.154605993757,3632.282750742921
1594423946.5350902,5730.400811070089,3609.758397753815
1594423948.1783738,5730.651120046118,3619.493281978698
1594423949.8003366,5730.898731239177,3585.9397043313543
1594423951.41797,5731.149086656668,3578.8859458232255
1594423953.0339093,5731.400826244539,3527.6118940457136
1594423954.6533632,5731.651228496931,3524.7584960206464
1594423956.2759948,5731.903015180691,3504.6349315041684
1594423957.8886895,5732.153464280819,3462.24982588775
1594423959.5443501,5732.405298073372,3459.648384859949
1594423961.203097,5732.653071126258,3417.849787723477
1594423962.796237,5732.899505466857,3403.7256221278685
1594423964.4000478,5733.150047538694,3370.546876446201
1594423966.005656,5733.400612988416,3356.360411263461
1594423967.6366484,5733.649839860205,3302.3440780727406
