seq_num,time,motor,motor_setpoint,det
1,2017-11-02 09:04:24.109665,-1.0,-1.0,0.6424319863044154
2,2017-11-02 09:04:24.210833,-0.7777777777777778,-0.7777777777777778,0.7206610259338331
3,2017-11-02 09:04:24.221309,-0.5555555555555556,-0.5555555555555556,0.8567820237849697
4,2017-11-02 09:04:24.232154,-0.33333333333333337,-0.33333333333333337,1.0000359260574951
5,2017-11-02 09:04:24.336564,-0.11111111111111116,-0.11111111111111116,0.9009273901046349
6,2017-11-02 09:04:24.347476,0.11111111111111116,0.11111111111111116,0.958890206931237
7,2017-11-02 09:04:24.360179,0.33333333333333326,0.33333333333333326,0.8543625263840661
8,2017-11-02 09:04:24.464410,0.5555555555555554,0.5555555555555554,0.8327687405628551
9,2017-11-02 09:04:24.474560,0.7777777777777777,0.7777777777777777,0.6465112254796573
10,2017-11-02 09:04:24.485426,1.0,1.0,0.6292886682198572
